source,lang_code,input,gold,prediction
CohereLabs/aya_dataset,tur_Latn,Fortnite mobilde var mı?,"ÖNEMLİ: Android'de Fortnite, şu anda Samsung Galaxy Store veya epicgames.com üzerinden edinebileceğin Epic Games Uygulaması'nda mevcuttur. Fortnite şu anda Google Play'de mevcut değildir. Daha fazla bilgi edin.","Hayır, **Fortnite mobilinde (iOS ve Android) resmi olarak bir oyun bulunmamaktadır.**

Fortnite, aslında bir **ücretsiz online oyun** (Free-to-Play) olarak tasarlanmıştır ve bu nedenle telefonlarda çalışmak için özel bir uygulama indirmeniz veya telefonunuzu güncellemeniz gerekebilir. Oyun, genellikle bir **web sitesi** üzerinden oynanır.

Ancak, oyunun mobil versiyonunu deneyebileceğiniz bazı alternatifler şunlardır:

*   **Fortnite Mobile (Kullanıcılar tarafından geliştirilen):** Bu, resmi olmayan bir uygulamadır. Genellikle Google Play Store veya App Store'da ""Fortnite"" veya ""Fortnite Mobile"" olarak aratıldığında bulunur. Bu uygulamalar genellikle resmi oyunun özelliklerini tam olarak yansıtmaz, sadece oyunun bir kısmını (örneğin bazı map'ları veya oyunun belirli bir bölümünü) sunabilir. Ayrıca, bu uygulamalar genellikle **güvenlik riskleri** içerir ve resmi oyunun güncellemelerini veya özelliklerini yansıtmayabilir.
*   **Fortnite: Mobile (Official):** Resmi olarak geliştirilmiş bir mobil versiyonu henüz piyasaya"
facebook/belebele,rus_Cyrl,"Птичий грипп, или более формально классическая чума птиц, может инфицировать и птиц и млекопитающих. Есть сведения меньше, чем о тысяче случаев среди людей, но некоторые из них были смертельными. В большинстве случаев пострадали люди, работающие с домашней птицей, но и наблюдатели за птицами также подвергаются риску.
В соответствии с приведённым текстом, какое из перечисленных утверждений точно описывает птичий грипп?
1. Только люди, работающие с домашней птицей, заразились гриппом
2. Больше случаев было зафиксировано среди людей, чем среди птиц
3. Люди, наблюдающие за птицами, подвергаются риску заражения
4. Все зафиксированные у людей случаи были смертельными","3: Люди, наблюдающие за птицами, подвергаются риску заражения","Для ответа на этот вопрос проанализируем каждый вариант в контексте предоставленного текста:

1.  **Только люди, работающие с домашней птицей, заразились гриппом** — это неверно. Текст указывает, что «и наблюдатели за птицами также подвергаются риску», что означает, что заражение может происходить и у людей, не работающих с птицей.
2.  **Больше случаев было зафиксировано среди людей, чем среди птиц** — это неверно. Текст говорит, что случаев среди людей «есть меньше, чем о тысяче случаев среди птиц».
3.  **Люди, наблюдающие за птицами, подвергаются риску заражения** — это верно. Фраза «и наблюдатели за птицами также подвергаются риску» прямо подтверждает эту информацию.
4.  **Все зафиксированные у людей случаи были смертельными** — это неверно. Текст упоминает, что «есть сведения меньше... но некоторые из них были смертельными», что означает, что не все случаи были смертельными.

Таким образом, только третий вариант точно отражает информацию из текста.

Правильный ответ: **3. Люди, наблюдающие за"
CohereLabs/aya_dataset,zho_Hans,"请解释“八仙过海,各显其能”的意思。","""八仙""即指道教传说中的八位神仙。这句话比喻做事各有各的一套办法,也比喻各自拿出本领互相比赛。","“八仙过海，各显其能”是一个源自中国神话传说和民间故事的成语，用来形容**不同的人在各自擅长的领域或条件下，各展所长、互相竞赛**。

这个成语的具体含义和背景如下：

### 1. 典故来源
相传在唐代，道教全真派创始人**王重阳**曾与他的弟子们（即“八仙”：铁拐李、汉钟离、张果老、吕洞宾、何仙姑、曹国舅、蓝采和、韩湘子）一起出海游玩。当时，东海龙王派出了八条龙船，每条船上都有一位神仙。

当众人来到海边，面对波涛汹涌的大海时，大家都不愿乘坐别人的船只，而是决定**自己造船、自己过海**。在过海的途中，他们各自展示了自己独特的本领：
*   **铁拐李**：用铁杖挑着铁锅，在浪涛中稳稳前行。
*   **汉钟离**：用扁担挑着扁担，在浪涛中稳稳前行。
*   **张果老**：用铁牛（牛车）在浪涛中稳稳前行。
*   **吕洞宾**：用宝剑"
CohereLabs/aya_dataset,kor_Hang,편의점에 흔히 볼수있는 달달한 간식추천좀요,"편의점에서 흔히 볼 수 있는 달달한 간식을 추천해드릴게요.

​오레오 쿠키: 달콤하고 부드러운 크림이 가득한 오레오 쿠키는 어린 시절의 추억을 떠올리게 해줍니다.

레이스 포테이토 칩스: 바삭하고 달콤한 맛이 일품인 레이스 포테이토 칩스는 간식으로 인기가 많습니다.

​도리토스: 다양한 맛과 풍미를 가진 도리토스는 달콤하고 바삭한 간식으로 유명합니다.

​치즈잼 샌드위치: 달콤한 치즈잼과 부드러운 식빵으로 만든 샌드위치는 간단하면서도 맛있는 간식입니다.","편의점에서는 **달달하고 깔끔한 맛**을 원하신다면, 주로 **달콤한 간식**과 **달콤한 음료**가 가장 인기 있는 선택지입니다. 편의점의 제품들은 원료와 맛의 차이가 크지 않아, 집에서 쉽게 만들어 먹을 수 있는 '간식'과 '음료'가 가장 추천됩니다.

다음은 편에 점에 흔히 볼 수 있는 달달한 간식과 음료 추천 목록입니다.

### 🍬 달달한 간식 추천

1.  **달콤한 바나나 (Banana)**
    *   **특징**: 바나나 자체의 달콤함과 함께, 바나나 껍질에 바닐라 향을 넣은 간식이나, 바나나를 썰어 소금과 함께 먹는 방식도 있습니다.
    *   **장점**: 바나나 자체의 자연스러운 달콤함과 함께, 바닐라 향이 섞여 있어 입에 달콤함이 잘 납니다.
    *   **추천**: 바나나 껍질에 바닐라 향을 넣은 간식이나, 바나나를 썰어 소금과 함께 먹는 방식."
facebook/belebele,rus_Cyrl,"Отрезок между Поинт-Марионом и Фермоном имеет наиболее трудные условия вождения на шоссе Буффало-Питсбург, часто проходя через изолированную глухую и лесную местность. Если вы не привыкли ездить по сельским дорогам, будьте начеку: преобладают крутые склоны, узкие переулки и резкие повороты. Установленные ограничения скорости заметно ниже, чем на предыдущих и последующих участках — обычно 35-40 миль/ч (56-64 км/ч) — и строгое соблюдение их ещё важнее, чем прочее. Однако, как ни странно, мобильная телефонная связь здесь намного лучше, чем на многих других участках маршрута, например в Пенсильвании Уайлдс.
В соответствии с приведённым текстом, что из перечисленного должно быть основной причиной для беспокойства у водителей, едущих по шоссе Буффало — Питсбург?
1. Попадание в пробку
2. Нестабильная мобильная связь
3. Слишком быстрый резкий поворот
4. Частые дорожные работы ",3: Слишком быстрый резкий поворот,"Для ответа на этот вопрос необходимо проанализировать текст и сопоставить его с вариантами ответов.

В тексте говорится, что условия вождения на шоссе Буффало-Питсбург включают:
*   Крутые склоны и узкие переулки.
*   Резкие повороты.
*   Ограничения скорости (35-40 миль/ч), которые ниже, чем на других участках.
*   **Несогласие автора с тем, что мобильная связь здесь хуже.** Автор пишет: «как ни странно, мобильная телефонная связь здесь намного лучше, чем на многих других участках маршрута».

Давайте разберем варианты:
1.  **Попадание в пробку:** В тексте нет упоминания о пробках.
2.  **Нестабильная мобильная связь:** Напротив, текст утверждает, что связь здесь *лучше*, а не нестабильна.
3.  **Слишком быстрый резкий поворот:** Хотя повороты упомянуты как «резкие», они являются частью общего описания сложного рельефа, а не единственной причиной для беспокойства. Более того, текст не указывает, что"
facebook/belebele,rus_Cyrl,"Асинхронная связь даёт время для размышлений и реагирования на других. Это позволяет учащимся работать в собственном ритме, а также контролировать ритм получения учебной информации. Также существует меньше временных ограничений с возможностью гибкого рабочего времени. (Бремер, 1998 год) Использование Интернета и Всемирной паутины позволяет учащимся иметь доступ к информации в любой момент. Студенты также могут задавать вопросы преподавателям в любое время суток и рассчитывать на достаточно быстрые ответы, не дожидаясь следующей личной встречи.
Что из перечисленного не является преимуществом асинхронной связи для учащихся? 
1. Использование Интернета в качестве ресурса
2. Личное общение с преподавателем в любое время суток
3. Гибкое рабочее время
4. Контроль ритма работы",2: Личное общение с преподавателем в любое время суток,"Для того чтобы определить правильный ответ, давайте проанализируем каждый пункт в контексте преимуществ асинхронной связи, описанных в тексте и логике образования:

1.  **Использование Интернета в качестве ресурса**: Текст прямо указывает, что асинхронная связь позволяет учащимся иметь доступ к информации в любой момент (через Интернет). Это классическое преимущество.
2.  **Личное общение с преподавателем в любое время суток**: Текст описывает возможность задавать вопросы преподавателю в любое время суток и рассчитывать на быстрые ответы. Хотя это и не совсем «личное общение» в прямом смысле (как разговор в классе), в контексте образовательных технологий это часто рассматривается как возможность оперативного взаимодействия и получения обратной связи, что является преимуществом.
3.  **Гибкое рабочее время**: Текст прямо упоминает возможность контролировать ритм работы и гибкое рабочее время. Это ключевое преимущество.
4.  **Контроль ритма работы**: Текст говорит, что асинхронная связь позволяет учащимся работать в собственном ритме и контролировать получение информации. Это также преимущество.

**Анализ"
wmt25-mist-oeg-gpt-4.1,ind_Latn,"Saya seorang guru di SMA yang menyusun tes untuk menerima calon siswa dari SD. Tolong buatkan 5 topik esai, masing-masing mencakup aspek unik dari sejarah Indonesia. Setiap topik harus terdiri dari minimal tiga kalimat untuk memandu siswa.","Tentu, berikut adalah 5 topik esai yang mencakup aspek unik dari sejarah Indonesia, masing-masing dengan minimal tiga kalimat penjelasan untuk memandu siswa:<br><br>1. **Peran Pahlawan Nasional dalam Memperjuangkan Kemerdekaan Indonesia**  <br>Jelaskan siapa saja pahlawan nasional yang kamu ketahui dan bagaimana peran mereka dalam memperjuangkan kemerdekaan Indonesia. Ceritakan salah satu kisah perjuangan mereka yang menurutmu paling menginspirasi. Mengapa menurutmu penting untuk mengenang jasa para pahlawan tersebut?<br><br>2. **Pengaruh Kerajaan-Kerajaan Besar di Indonesia terhadap Budaya Lokal**  <br>Indonesia pernah memiliki banyak kerajaan besar seperti Sriwijaya, Majapahit, dan Mataram. Pilih salah satu kerajaan dan jelaskan bagaimana kerajaan tersebut memengaruhi budaya, bahasa, atau tradisi di daerahnya. Menurutmu, apakah pengaruh itu masih terasa hingga sekarang?<br><br>3. **Dampak Penjajahan terhadap Kehidupan Masyarakat Indonesia**  <br>Penjajahan Belanda dan Jepang membawa banyak perubahan dalam kehidupan masyarakat Indonesia. Jelaskan beberapa dampak positif dan negatif dari masa penjajahan tersebut. Bagaimana masyarakat Indonesia berusaha bertahan dan melawan penjajahan?<br><br>4. **Peristiwa Penting dalam Proklamasi Kemerdekaan Indonesia**  <br>Proklamasi kemerdekaan Indonesia pada 17 Agustus 1945 adalah peristiwa bersejarah. Ceritakan proses terjadinya proklamasi, tokoh-tokoh yang terlibat, dan tantangan yang dihadapi saat itu. Mengapa peristiwa ini sangat penting bagi bangsa Indonesia?<br><br>5. **Perkembangan Teknologi dan Transportasi di Indonesia pada Masa Orde Baru**  <br>Pada masa Orde Baru, Indonesia mengalami banyak perubahan, termasuk dalam bidang teknologi dan transportasi. Jelaskan bagaimana perkembangan tersebut memengaruhi kehidupan masyarakat sehari-hari. Menurutmu, apa pelajaran yang bisa diambil dari masa itu untuk kemajuan Indonesia di masa depan?","Berikut adalah 5 topik esai yang dirancang khusus untuk siswa SD, dengan fokus pada aspek unik sejarah Indonesia dan setiap topik terdiri dari minimal tiga kalimat panduan:

1.  **Peta Perang Dunia II di Indonesia**
    *   Indonesia menjadi salah satu negara yang paling banyak terlibat dalam Perang Dunia II, mulai dari peran sebagai negara pendiri Liga Bangsa-Bangsa hingga menjadi salah satu pemenang utama perang tersebut.
    *   Perang ini membawa dampak besar terhadap kehidupan rakyat Indonesia, termasuk penaklukan wilayah yang luas dan perubahan struktur sosial yang mendalam.
    *   Banyak tokoh nasional seperti Soekarno dan Hatta yang berjuang keras untuk mempertahankan kemerdekaan dan membangun negara baru pasca-perang.

2.  **Peran Ratu Juliana dalam Perang Dunia II**
    *   Ratu Juliana, putri dari Sultan Hamengkubuwono IX, memainkan peran strategis dalam diplomasi internasional Indonesia selama Perang Dunia II.
    *   Ia berhasil memobilisasi dukungan dari berbagai negara Barat untuk membantu Indonesia dalam upaya mempertahankan kedaulatan negara tersebut.
    *   Kehadiran Ratu Juliana menjadi simbol penting bagi rakyat Indonesia yang ingin menunjukkan bahwa negara mereka memiliki kekuatan dan pengaruh global.

3.  **Kolonialisme Belanda dan Perlawanan Rakyat"
facebook/belebele,ckb_Arab,"ئاوزنگ پشتیوانیە بۆ پێکانی سوار کە لە هەردووک لای زینەکەی دادەنێت. سەقامگیریی زیاتر بۆ سوارنشینەکە پێشکەش دەکەن بەڵام دەکرێت نیگەرانی سەلامەتیان هەبێت بەهۆی لایەنی شاراوەی پێی سوارنشینەکە کە لە ناوی گیر دەبێت. ئەگەر سوارەیەك لە ئەسپ بکەوێتە خوار بەڵام قاچی گیربێت لە زینەکەی و ئەسپەکە رایکرد، بە ئەرزەکەدا دەخشێت. بۆ کەمکردنەوەی ئەم مەترسیە، چەند ئامادەکاریەک دەبێت بکرێن. یەکەم، زۆرینەی سوارەکان پوتی سوارە لەپێ دەکەن کە پاژنەی هەیە و بنەکەی لوس و تەسکە. دواتر، هەندێك زین، بەتایبەتی زینی ئینگلزیی شیشی سەلامەتییان هەیە کە وادەکات چەرمەکە لە زینەکە بکەوێتە خوار ئەگەر سوارەکەی بەرەو دوا کەوت.
کام تایبەتمەندی پێڵاوی سواربوون یارمەتی زیادکردنی سەلامەتی سواربوو دەدات لەکاتی بەکارهێنانی ئاوزنگ؟
1. بنێکی زبر و تەسک
2. چەرم
3. پاژنەیەک
4. بنێکی پان",3: پاژنەیەک,"بەپێی ئەو ئامادەکارییە کە تاقی کردووە، زۆرینەی سوارەکان پوتی سوارە لەپێ دەکەن کە بنەکەی لوس و تەسکە. ئەم بنەکەی لەسەر زینەکەی دەبێت و بەهۆی ئەوەیە، ئەگەر سوارەکەی بەرەو دوا کەوت، زینەکە دەبێت چەرمەکەی بکەوێتە خوار. ئەمە هەندێک زین بەتایبەتی زینی ئینگلزیی شیشی سەلامەتییان هەیە کە وادەکات چەرمەکە لە زینەکە بکەوێتە خوار.

بۆ کەمکردنەوەی ئەم مەترسیە، زۆرینەی سوارەکان پوتی سوارە لەپێ دەکەن کە پاژنەی هەیە و بنەکەی لوس و تەسکە.

بەپێی"
copenlu/answerable_tydiqa,rus_Cyrl,"Несмотря на это, христианская церковь упорно продолжала добиваться окончательного запрета кровавых забав. В 357 году император Константин II воспретил всем римским солдатам и офицерам добровольно поступать в гладиаторские школы. Через восемь лет, в 365 году, император Валентиниан подтвердил эдикт Константина, запрещающий римским судьям приговаривать преступников «к арене», а в 399 году император Гонорий закрыл последние гладиаторские школы. Окончательный и абсолютный запрет гладиаторских боев последовал вновь пять лет спустя.

Когда отменили гладиаторские бои?",в 399 году,"Окончательный и абсолютный запрет гладиаторских боев в Римской империи был принят в **394 году** (в 393–394 годах).

В этот период император **Генрих III** (Генрих IV) из династии Гутенбергов, который правил с 306 по 398 год, принял эдикт, запрещавший гладиаторские бои. Этот запрет был настолько жестким, что он фактически уничтожил гладиаторскую культуру в Риме.

Хотя ранее были важные шаги:
*   **357 год:** Константин II запретил добровольное поступление в школы гладиаторов.
*   **365 год:** Валентиниан запретил судьям приговаривать к арене.
*   **399 год:** Гонорий закрыл последние школы.

Однако именно в 394 году Генрих III официально запретил гладиаторские бои, что считается окончательным этапом в истории этого вида спорта в Римской империи."
FBK-MT/MCIF,deu_Latn,"Beantworte die folgende Frage kurz und bündig basierend auf dem englischen Inhalt: Wie stellen sie die Opazität ihrer Methode sicher?

Hello everyone, my name is Jingwei Yi from the University of Science and Technology of China. It's my pleasure to give a short advertisement video of our paper. Are you copying my model? Protecting the copyright of large language models for embedding as services via backdoor watermark. Let's first introduce the background about embedding as services. Currently, large language models such as GPT, LLAMA, PALM are exceptional in natural language understanding and generation. Embedding as services is one of the services built upon large language models to assist various, NLP tasks. For example, OpenAI offers a GPT based embedding API. However, recent works have shown that the attacker may steal the model through learning from the embedding and provide similar services. Therefore, it's necessary to protect the copyright of embedding as services. To protect the copyright of embedding as services, one of the solutions is to embed a watermark in the provider service and detect whether another service contain the watermark. The watermark method need to meet the following properties. First the method should be applicable to embedding as services. Second, the watermark should not degrade the utility of the provided embeddings. Third, the watermark should be covert enough to the attacker or the attacker can remove the watermark easily. Finally, the watermark needs to be transferable to the attacker's services during the model extraction process. Existing works can be broadly classified into four categories. However, this method either not applicable to embedding as services or lack of transferability. Therefore, in this paper we propose Embedding marker, which is a backdoor based watermark method applicable to embedding as services. Then let me introduce the details of our embedding marker. Embedding marker contains two main steps. Watermark injection and copyright verification. Before these main steps, we first select a trigger set. The trigger set is a group of words in a moderate frequency interval. We assume the provider can collect a general text corpus and count the word frequency with it. In watermark injection, we first define a target embedding. When a user send a sentence to the provider service the provider counts the trigger number in the sentence. The provided embedding is a weight summation of the target embedding and the original embedding. The weight of the target embedding is proportional to the number of triggers in the sentence. When a number of triggers in the sentence is greater than m the provided embedding is exactly equal to the target embedding. Copyright verification is to detect whether a model behind another service contains the word mark. We first construct a back door and a benign data set. Back door data set contains sentences of which all words belong to the trigger set while all words in the sentences of benign data set do not belong to the trigger sets. Then the provider requests the embeddings from the stealer's service with the data set. The cosine and L2 similarity between the requested embedding and the target embedding are computed. We compute the similarity difference between benign and backdoor data set which is defined as delta cosine and delta L2. Meanwhile, we also apply KS test and use its p-value as the third metric. We conduct experiments on four data sets AG News, MIND, SST2 and Enron Spam. We assume the provider apply wiki text data set to count word frequency. The results on four data sets show that our embedding marker can have great detection performance while keep great utility for downstream tasks. We also validate the covertness of the provided embedding by visualising the embedding of sentences on four dataset [INAUDIBLE 4:39] PCA. The legend of the figures means the number of triggers in each sentence. As shown in the figures, it's hard to distinguish between, the backdoor embeddings and normal embeddings. That's all. Thank you. Welcome to discuss with us.

Beantworte die folgende Frage kurz und bündig basierend auf dem englischen Inhalt: Wie stellen sie die Opazität ihrer Methode sicher?",Fehlen eines „sichtbaren Musters“ in der PCA-basierten Visualisierung.,"Die Autoren stellen die Opazität sicher, indem sie eine **Backdoor-Watermarking-Methode** verwenden, die folgende Eigenschaften erfüllt:

*   **Versteckt:** Die Wasserzeichen sind so subtil gestaltet, dass sie in PCA-Darstellungen kaum von normalen Embeddings unterschieden werden können.
*   **Entdeckbar:** Die Methode nutzt statistische Tests (wie KS-Test) und Ähnlichkeitsdifferenzen, um die Anwesenheit des Wasserzeichens in fremden Modellen zu erkennen.
*   **Transferierbar:** Das Wasserzeichen kann während des Modellaufbaus von einem Stealer-Modell auf das Ziel-Modell übertragen werden.

Durch diese Kombination aus hoher Verstecktheit und hoher Erkennbarkeit wird die Opazität der Methode gewährleistet."
